Start,End,Minutos,Rental place,Return place
01/03/2024 10:47,01/03/2024 10:52,"5,53",Ayuntamiento,Oficina de la Sitycleta
01/03/2024 10:49,01/03/2024 11:02,"13,05",Plaza de España (elect.),Castillo de Mata (elect.)
01/03/2024 10:54,01/03/2024 11:22,"28,02",Churruca,Plaza del Pilar
01/03/2024 10:58,01/03/2024 11:15,"17,57",San Telmo,Muelle Deportivo
01/03/2024 10:59,01/03/2024 11:08,"8,65",Plaza OShanahan,Cabildo de Gran Canaria
01/03/2024 11:01,01/03/2024 11:06,"4,87",C.C. El Muelle,Castillo de la Luz
01/03/2024 11:01,01/03/2024 11:11,"9,87",Paseo de Chil - Av. Escaleritas,Churruca
01/03/2024 11:04,01/03/2024 11:18,"14,07",Plaza de España (elect.),Castillo de Mata (elect.)
01/03/2024 11:07,01/03/2024 11:28,"20,97",San Bernardo,Las Canteras - Luis Morote
01/03/2024 11:11,01/03/2024 12:53,"101,90",Plaza del Pilar,Castillo de la Luz
01/03/2024 11:14,01/03/2024 11:22,"7,93",Plaza del Pilar,Plaza de España
01/03/2024 11:15,01/03/2024 11:20,"5,03",Parque del Estadio Insular,Mercado Central
01/03/2024 11:18,01/03/2024 11:26,"8,10",Piscina Julio Navarro,IES Mesa y Lopez
01/03/2024 11:18,01/03/2024 11:35,"16,48",Ayuntamiento,Plaza del Pilar
01/03/2024 11:19,01/03/2024 11:24,"5,23",Las Canteras - Luis Morote,Torre Woermann
01/03/2024 11:19,01/03/2024 11:36,"17,13",Plazoleta de Farray,Plaza OShanahan
01/03/2024 11:21,01/03/2024 11:30,"9,07",Las Canteras - Luis Morote,Plaza del Pilar
01/03/2024 11:21,01/03/2024 11:32,"10,67",Leon y Castillo,Mercado Central
01/03/2024 11:21,01/03/2024 11:32,"10,42",Leon y Castillo,Mercado Central
01/03/2024 11:24,01/03/2024 11:28,"3,55",San Telmo,Plaza de la feria 
01/03/2024 11:24,01/03/2024 11:27,"2,68",Castillo de Mata (elect.),Castillo de Mata (elect.)
01/03/2024 11:25,01/03/2024 11:33,"7,12",Plaza del Pilar,Plazoleta de Farray
01/03/2024 11:26,01/03/2024 11:32,"5,85",Plaza de España,C.C. El Muelle
01/03/2024 11:27,01/03/2024 11:40,"12,47",Castillo de Mata (elect.),Plaza de España (elect.)
01/03/2024 11:29,01/03/2024 11:48,"19,30",Mercado Central,San Telmo
01/03/2024 11:31,01/03/2024 11:36,"5,58",Las Canteras - Luis Morote,Plaza de España
01/03/2024 11:32,01/03/2024 12:31,"59,43",Mercado Central,Leon y Castillo
01/03/2024 11:32,01/03/2024 11:38,"6,30",Base Naval,IES Mesa y Lopez
01/03/2024 11:32,01/03/2024 11:49,"16,33",Plaza de la feria ,Ciudad de la Justicia
01/03/2024 11:33,01/03/2024 11:38,"5,07",Mercado Central,Plazoleta de Farray
01/03/2024 11:35,01/03/2024 11:38,"3,80",ULPGC - CC. Basicas,ULPGC - Polivalente I
01/03/2024 11:36,01/03/2024 11:41,"5,02",Teatro Perez Galdos,San Telmo
01/03/2024 11:38,01/03/2024 11:39,"1,15",Torre Las Palmas,Torre Las Palmas
01/03/2024 11:38,01/03/2024 11:41,"2,98",Plaza de la feria ,Leon y Castillo
01/03/2024 11:40,01/03/2024 11:46,"5,70",Plaza de America,Plazoleta de Farray
01/03/2024 11:40,01/03/2024 12:03,"22,60",Torre Las Palmas,Plaza del Pilar
01/03/2024 11:40,01/03/2024 11:46,"6,23",Plaza de España,Parque Santa Catalina
01/03/2024 11:45,01/03/2024 12:01,"15,72",Torre Las Palmas,Teatro Perez Galdos
01/03/2024 11:45,01/03/2024 13:19,"94,08",Torre Woermann,Torre Woermann
01/03/2024 11:46,01/03/2024 12:02,"16,07",IES Mesa y Lopez,Obelisco
01/03/2024 11:46,01/03/2024 12:06,"20,22",Torre Woermann,Churruca
01/03/2024 11:46,01/03/2024 11:51,"4,78",Torre Woermann,Las Canteras - Luis Morote
01/03/2024 11:47,01/03/2024 12:00,"13,72",Las Canteras - Luis Morote,Oficina Sagulpa
01/03/2024 11:49,01/03/2024 12:01,"11,92",Castillo de la Luz,Plazoleta de Farray
01/03/2024 11:50,01/03/2024 11:59,"9,88",Plaza San Agustin,Cabildo de Gran Canaria
01/03/2024 11:56,01/03/2024 12:04,"7,37",Cabildo de Gran Canaria,Plaza San Agustin
01/03/2024 12:02,01/03/2024 12:26,"23,63",Churruca,San Telmo
01/03/2024 12:05,01/03/2024 12:31,"26,08",Mercado Central,Leon y Castillo
01/03/2024 12:06,01/03/2024 12:14,"7,20",Churruca,Churruca
01/03/2024 12:08,01/03/2024 12:35,"27,52",Parque Santa Catalina,Gabinete Literario
01/03/2024 12:08,01/03/2024 12:20,"12,13",Cabildo de Gran Canaria,Plaza San Agustin
01/03/2024 12:12,01/03/2024 12:12,"0,70",Oficina Sitycleta (elect.),Oficina Sitycleta (elect.)
01/03/2024 12:14,01/03/2024 12:29,"15,10",Castillo de Mata (elect.),Plaza de España (elect.)
01/03/2024 12:14,01/03/2024 12:14,"0,75",Oficina Sitycleta (elect.),Oficina Sitycleta (elect.)
01/03/2024 12:15,01/03/2024 12:16,"1,17",Oficina de la Sitycleta,Oficina Sitycleta (elect.)
01/03/2024 12:15,01/03/2024 13:20,"65,03",Churruca,Torre Woermann
01/03/2024 12:16,01/03/2024 12:22,"6,65",Plaza de America,Plazoleta de Farray
01/03/2024 12:19,01/03/2024 12:38,"19,27",Mercado Central,Plaza Manuel Becerra
01/03/2024 12:23,01/03/2024 12:36,"12,72",Plaza OShanahan,Base Naval
01/03/2024 12:24,01/03/2024 12:46,"21,67",Plaza de España (elect.),Teatro Perez Galdos
01/03/2024 12:26,01/03/2024 12:34,"7,48",Plazoleta de Farray,Base Naval
01/03/2024 12:30,01/03/2024 12:49,"19,30",Leon y Castillo,Las Canteras - Luis Morote
01/03/2024 12:32,01/03/2024 12:40,"7,50",Plaza del Pilar,Base Naval
01/03/2024 12:34,01/03/2024 12:42,"8,57",Plazoleta de Farray,Torre Las Palmas
01/03/2024 12:35,01/03/2024 12:56,"21,07",Teatro Perez Galdos,Plaza del Pilar
01/03/2024 12:37,01/03/2024 12:43,"5,52",Plazoleta de Farray,C.C. El Muelle
01/03/2024 12:39,01/03/2024 12:48,"9,65",Castillo de Mata (elect.),Oficina Sitycleta (elect.)
01/03/2024 12:39,01/03/2024 12:55,"15,73",Ciudad de la Justicia,Teatro Perez Galdos
01/03/2024 12:41,01/03/2024 12:55,"14,10",Oficina de la Sitycleta,Parque del Estadio Insular
01/03/2024 12:42,01/03/2024 12:53,"11,00",Base Naval,Castillo de la Luz
01/03/2024 12:46,01/03/2024 12:49,"3,43",Plaza de America,Plaza del Pilar
01/03/2024 12:46,01/03/2024 13:04,"17,82",San Telmo,Churruca
01/03/2024 12:48,01/03/2024 12:57,"8,87",Parque Santa Catalina,Parque Santa Catalina
01/03/2024 12:49,01/03/2024 12:57,"7,13",Barranquillo Don Zoilo,Cabildo de Gran Canaria
01/03/2024 12:53,01/03/2024 13:05,"11,92",Churruca,Torre Woermann
01/03/2024 12:57,01/03/2024 13:02,"4,87",Plaza de España,Churruca
01/03/2024 12:59,01/03/2024 13:19,"19,82",Castillo de la Luz,Torre Las Palmas
01/03/2024 13:00,01/03/2024 13:08,"8,53",Plaza OShanahan,Parque del Estadio Insular
01/03/2024 13:00,01/03/2024 13:14,"14,72",Churruca,Plaza Manuel Becerra
01/03/2024 13:02,01/03/2024 13:06,"4,12",Plazoleta de Farray,Churruca
01/03/2024 13:02,01/03/2024 13:09,"6,87",Plaza de la feria ,Plaza OShanahan
01/03/2024 13:04,01/03/2024 13:21,"16,57",Parque Santa Catalina,San Telmo
01/03/2024 13:08,01/03/2024 13:18,"10,00",Base Naval,Plaza OShanahan
01/03/2024 13:11,01/03/2024 13:29,"17,65",Parque Santa Catalina,Las Canteras - Luis Morote
01/03/2024 13:12,01/03/2024 13:23,"11,13",Torre Woermann,Ayuntamiento
01/03/2024 13:13,01/03/2024 13:22,"8,78",ULPGC - Ingenieria,ULPGC - Polivalente I
01/03/2024 13:14,01/03/2024 13:24,"10,58",ULPGC - CC. Juridicas,ULPGC - CC. Juridicas
01/03/2024 13:14,01/03/2024 13:24,"10,55",ULPGC - CC. Juridicas,ULPGC - CC. Juridicas
01/03/2024 13:14,01/03/2024 13:24,"10,48",ULPGC - CC. Juridicas,ULPGC - CC. Juridicas
01/03/2024 13:21,01/03/2024 13:37,"16,03",Las Canteras - Luis Morote,Leon y Castillo
01/03/2024 13:22,01/03/2024 13:35,"12,95",Plaza Manuel Becerra,Plazoleta de Farray
01/03/2024 13:23,01/03/2024 13:29,"6,03",ULPGC - Ingenieria,ULPGC - Polivalente I
01/03/2024 13:24,01/03/2024 13:43,"18,90",Plazoleta de Farray,Leon y Castillo
01/03/2024 13:28,01/03/2024 13:33,"5,92",Mercado Central,Churruca
01/03/2024 13:28,01/03/2024 13:32,"4,12",ULPGC - Ingenieria,ULPGC - Polivalente I
01/03/2024 13:28,01/03/2024 13:32,"4,23",ULPGC - Ingenieria,ULPGC - Polivalente I
01/03/2024 13:28,01/03/2024 13:32,"3,52",Base Naval,C.C. El Muelle
01/03/2024 13:29,01/03/2024 13:42,"13,48",Base Naval,San Telmo
01/03/2024 13:29,01/03/2024 13:38,"9,18",Plaza de la feria ,Teatro Perez Galdos
01/03/2024 13:31,01/03/2024 13:34,"2,72",ULPGC - Polivalente I,ULPGC - CC. Juridicas
01/03/2024 13:31,01/03/2024 13:35,"3,52",ULPGC - Polivalente I,ULPGC - CC. Juridicas
01/03/2024 13:32,01/03/2024 13:34,"2,52",ULPGC - Polivalente I,ULPGC - CC. Juridicas
01/03/2024 13:33,01/03/2024 13:47,"14,23",Ayuntamiento,IES Mesa y Lopez
01/03/2024 13:33,01/03/2024 13:53,"19,53",Ciudad de la Justicia,Leon y Castillo
01/03/2024 13:37,01/03/2024 13:48,"11,62",Parque del Estadio Insular,Torre Woermann
01/03/2024 13:37,01/03/2024 13:49,"11,40",Parque del Estadio Insular,Torre Woermann
01/03/2024 13:40,01/03/2024 14:05,"25,02",El Sebadal (elec.),C.C. La Ballena (elect.)
01/03/2024 13:43,01/03/2024 14:15,"32,37",Torre Woermann,Teatro Perez Galdos
01/03/2024 13:44,01/03/2024 13:52,"7,65",Plaza OShanahan,Teatro Perez Galdos
01/03/2024 13:45,01/03/2024 14:04,"19,50",Ciudad de la Justicia,Plaza OShanahan
01/03/2024 13:46,01/03/2024 13:49,"3,05",Plazoleta de Farray,Plaza de España
01/03/2024 13:48,01/03/2024 13:58,"9,55",Barranquillo Don Zoilo,Plaza de España
